# HB Z M OV QHEL tau_He tau_H fname
0 0.001 0.450 0.00 0.000 0 3.013e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.45.PMS
1 0.001 0.492 0.30 0.996 1.237e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.492.PMS.HB
1 0.001 0.493 0.30 0.994 1.222e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.493.PMS.HB
1 0.001 0.494 0.30 0.992 1.257e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.494.PMS.HB
1 0.001 0.495 0.30 0.990 1.214e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.495.PMS.HB
0 0.001 0.500 0.00 0.000 0 3.012e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.50.PMS
1 0.001 0.500 0.30 0.980 1.192e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.500.PMS.HB
1 0.001 0.505 0.30 0.970 1.162e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.505.PMS.HB
1 0.001 0.510 0.30 0.961 1.126e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.510.PMS.HB
1 0.001 0.515 0.30 0.951 1.09e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.515.PMS.HB
1 0.001 0.520 0.30 0.942 1.064e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.520.PMS.HB
1 0.001 0.525 0.30 0.933 1.04e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.525.PMS.HB
1 0.001 0.530 0.30 0.924 1.019e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.530.PMS.HB
1 0.001 0.540 0.30 0.907 1.089e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.540.PMS.HB
0 0.001 0.550 0.00 0.000 0 3.006e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.55.PMS
1 0.001 0.550 0.30 0.891 1.077e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.550.PMS.HB
1 0.001 0.560 0.30 0.875 1.08e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.560.PMS.HB
1 0.001 0.570 0.30 0.859 1.056e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.570.PMS.HB
1 0.001 0.580 0.30 0.845 1.052e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.580.PMS.HB
1 0.001 0.590 0.30 0.830 1.034e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.590.PMS.HB
0 0.001 0.600 0.00 0.000 0 3.01e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.60.PMS
1 0.001 0.600 0.30 0.816 1.025e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.60.PMS.HB
1 0.001 0.620 0.30 0.790 1.01e+08 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.62.PMS.HB
1 0.001 0.640 0.30 0.765 9.966e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.64.PMS.HB
0 0.001 0.650 0.00 0.761 9.043e+05 2.484e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.65.PMS
1 0.001 0.660 0.30 0.742 9.836e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.66.PMS.HB
1 0.001 0.680 0.30 0.720 9.649e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.68.PMS.HB
0 0.001 0.700 0.00 0.704 9.108e+05 1.921e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.70.PMS
1 0.001 0.700 0.30 0.700 9.585e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.70.PMS.HB
1 0.001 0.720 0.30 0.680 9.524e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.72.PMS.HB
0 0.001 0.750 0.00 0.655 9.116e+05 1.507e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.75.PMS
1 0.001 0.750 0.30 0.653 9.432e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.75.PMS.HB
1 0.001 0.760 0.30 0.645 9.337e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.76.PMS.HB
1 0.001 0.780 0.30 0.628 9.525e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.78.PMS.HB
0 0.001 0.800 0.00 0.612 9.167e+05 1.204e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.80.PMS
1 0.001 0.800 0.30 0.612 9.451e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.80.PMS.HB
0 0.001 0.850 0.00 0.575 9.062e+05 9.701e+09 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.85.PMS
1 0.001 0.850 0.30 0.575 9.273e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.85.PMS.HB
0 0.001 0.900 0.00 0.542 9.068e+05 7.908e+09 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.90.PMS
1 0.001 0.900 0.30 0.542 9.321e+07 0 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.90.PMS.HB
